neuron_id,spike_array_horizontal_line.pkl,spike_array_image_135.pkl,spike_array_image_45.pkl,spike_array_vertical_line.pkl
482,5.0,0.0,0.0,0.0
483,10.0,0.0,0.0,0.0
484,5.0,0.0,0.0,0.0
485,5.0,0.0,0.0,0.0
487,5.0,0.0,0.0,0.0
490,5.0,0.0,0.0,0.0
493,0.0,5.0,5.0,0.0
494,0.0,5.0,0.0,5.0
495,0.0,5.0,5.0,10.0
496,10.0,5.0,0.0,5.0
497,0.0,10.0,0.0,10.0
498,10.0,0.0,0.0,10.0
499,15.0,0.0,5.0,0.0
500,0.0,0.0,5.0,0.0
501,5.0,0.0,0.0,0.0
502,10.0,0.0,0.0,0.0
503,5.0,0.0,0.0,0.0
506,5.0,0.0,0.0,0.0
507,25.0,0.0,0.0,0.0
512,5.0,0.0,0.0,0.0
513,10.0,0.0,0.0,0.0
514,5.0,0.0,0.0,0.0
515,15.0,0.0,0.0,0.0
516,10.0,0.0,0.0,0.0
517,5.0,0.0,0.0,0.0
518,10.0,0.0,0.0,0.0
519,20.0,0.0,0.0,0.0
521,15.0,0.0,0.0,0.0
522,5.0,0.0,0.0,0.0
523,5.0,0.0,0.0,0.0
525,5.0,0.0,0.0,0.0
526,0.0,10.0,15.0,10.0
527,5.0,10.0,5.0,10.0
528,5.0,5.0,10.0,15.0
529,5.0,0.0,10.0,5.0
530,0.0,0.0,0.0,5.0
532,10.0,0.0,0.0,0.0
533,10.0,0.0,0.0,0.0
536,10.0,0.0,0.0,0.0
537,5.0,0.0,0.0,0.0
538,10.0,0.0,0.0,0.0
540,5.0,0.0,0.0,0.0
541,5.0,0.0,0.0,0.0
542,10.0,0.0,0.0,0.0
545,10.0,0.0,0.0,0.0
546,10.0,0.0,0.0,0.0
547,5.0,0.0,0.0,0.0
549,10.0,0.0,0.0,0.0
551,10.0,0.0,0.0,0.0
553,5.0,0.0,0.0,0.0
554,5.0,0.0,0.0,0.0
555,0.0,0.0,5.0,0.0
556,5.0,0.0,0.0,0.0
557,10.0,0.0,0.0,0.0
558,10.0,0.0,5.0,0.0
559,5.0,0.0,10.0,10.0
560,5.0,0.0,0.0,0.0
561,10.0,5.0,5.0,0.0
562,0.0,0.0,5.0,0.0
563,5.0,5.0,0.0,0.0
564,5.0,10.0,0.0,0.0
567,10.0,0.0,0.0,0.0
569,5.0,0.0,0.0,0.0
570,5.0,0.0,0.0,0.0
572,5.0,0.0,0.0,0.0
573,10.0,0.0,0.0,0.0
576,15.0,0.0,0.0,0.0
577,5.0,0.0,0.0,0.0
579,5.0,0.0,0.0,0.0
580,5.0,0.0,0.0,0.0
584,5.0,0.0,0.0,0.0
585,5.0,0.0,0.0,0.0
586,20.0,0.0,5.0,0.0
588,10.0,0.0,0.0,0.0
589,0.0,0.0,5.0,0.0
590,5.0,0.0,5.0,5.0
591,5.0,0.0,5.0,5.0
593,0.0,10.0,0.0,5.0
594,5.0,5.0,0.0,5.0
595,10.0,5.0,0.0,0.0
596,0.0,15.0,0.0,0.0
598,5.0,0.0,0.0,0.0
601,5.0,0.0,0.0,0.0
603,5.0,0.0,0.0,0.0
605,5.0,0.0,0.0,0.0
608,5.0,0.0,0.0,0.0
610,10.0,0.0,0.0,0.0
614,10.0,0.0,0.0,0.0
615,5.0,0.0,0.0,0.0
618,0.0,0.0,10.0,0.0
619,0.0,0.0,5.0,0.0
621,0.0,0.0,5.0,0.0
622,0.0,0.0,10.0,0.0
623,0.0,5.0,10.0,5.0
624,0.0,5.0,0.0,5.0
625,0.0,5.0,0.0,0.0
626,5.0,5.0,0.0,5.0
628,0.0,15.0,0.0,0.0
629,0.0,5.0,0.0,0.0
630,0.0,5.0,0.0,0.0
631,5.0,0.0,0.0,0.0
648,0.0,0.0,5.0,0.0
651,0.0,0.0,5.0,0.0
652,0.0,0.0,10.0,0.0
654,0.0,0.0,5.0,0.0
655,0.0,0.0,0.0,5.0
656,0.0,0.0,0.0,5.0
657,0.0,0.0,0.0,5.0
658,0.0,5.0,0.0,0.0
659,0.0,10.0,0.0,0.0
660,0.0,5.0,0.0,0.0
661,0.0,5.0,0.0,0.0
662,0.0,5.0,0.0,0.0
663,0.0,10.0,0.0,0.0
664,0.0,10.0,0.0,0.0
680,0.0,0.0,5.0,0.0
681,0.0,0.0,5.0,0.0
682,0.0,0.0,5.0,0.0
686,0.0,0.0,0.0,5.0
687,0.0,0.0,0.0,5.0
688,0.0,0.0,0.0,5.0
693,0.0,10.0,0.0,0.0
694,0.0,5.0,0.0,0.0
695,0.0,5.0,0.0,0.0
709,0.0,0.0,5.0,0.0
710,0.0,0.0,10.0,0.0
711,0.0,0.0,10.0,0.0
712,0.0,0.0,10.0,0.0
713,0.0,0.0,5.0,0.0
715,0.0,0.0,10.0,0.0
716,0.0,0.0,10.0,0.0
718,0.0,0.0,0.0,20.0
719,0.0,0.0,0.0,15.0
720,0.0,0.0,0.0,5.0
723,0.0,5.0,0.0,0.0
724,0.0,10.0,0.0,0.0
725,0.0,5.0,0.0,0.0
726,0.0,5.0,0.0,0.0
727,0.0,15.0,0.0,0.0
729,0.0,5.0,0.0,0.0
730,0.0,5.0,0.0,0.0
741,0.0,0.0,5.0,0.0
742,0.0,0.0,5.0,0.0
745,0.0,0.0,15.0,0.0
746,0.0,0.0,10.0,0.0
747,0.0,0.0,5.0,0.0
750,0.0,0.0,0.0,10.0
751,0.0,0.0,0.0,10.0
752,0.0,0.0,0.0,15.0
754,0.0,0.0,0.0,5.0
755,0.0,0.0,0.0,5.0
758,0.0,5.0,0.0,0.0
760,0.0,10.0,0.0,0.0
761,0.0,10.0,0.0,0.0
772,0.0,0.0,5.0,0.0
