file_name,neuron_id,spike_times,num_spikes
spike_array_horizontal_line.pkl,1,[],0
spike_array_horizontal_line.pkl,3,[],0
spike_array_horizontal_line.pkl,14,[],0
spike_array_horizontal_line.pkl,15,[],0
spike_array_horizontal_line.pkl,17,[],0
spike_array_horizontal_line.pkl,18,[],0
spike_array_horizontal_line.pkl,29,[],0
spike_array_horizontal_line.pkl,30,[],0
spike_array_horizontal_line.pkl,34,[],0
spike_array_horizontal_line.pkl,35,[],0
spike_array_horizontal_line.pkl,46,[],0
spike_array_horizontal_line.pkl,47,[],0
spike_array_horizontal_line.pkl,48,[],0
spike_array_horizontal_line.pkl,49,[],0
spike_array_horizontal_line.pkl,61,[],0
spike_array_horizontal_line.pkl,68,[],0
spike_array_horizontal_line.pkl,78,[],0
spike_array_horizontal_line.pkl,79,[],0
spike_array_horizontal_line.pkl,80,[],0
spike_array_horizontal_line.pkl,81,[],0
spike_array_horizontal_line.pkl,82,[],0
spike_array_horizontal_line.pkl,92,[],0
spike_array_horizontal_line.pkl,95,[],0
spike_array_horizontal_line.pkl,96,[],0
spike_array_horizontal_line.pkl,97,[],0
spike_array_horizontal_line.pkl,99,[],0
spike_array_horizontal_line.pkl,100,[],0
spike_array_horizontal_line.pkl,102,[],0
spike_array_horizontal_line.pkl,110,[],0
spike_array_horizontal_line.pkl,111,[],0
spike_array_horizontal_line.pkl,113,[],0
spike_array_horizontal_line.pkl,114,[],0
spike_array_horizontal_line.pkl,121,[],0
spike_array_horizontal_line.pkl,122,[],0
spike_array_horizontal_line.pkl,124,[],0
spike_array_horizontal_line.pkl,129,[],0
spike_array_horizontal_line.pkl,131,[],0
spike_array_horizontal_line.pkl,133,[],0
spike_array_horizontal_line.pkl,134,[],0
spike_array_horizontal_line.pkl,135,[],0
spike_array_horizontal_line.pkl,152,[],0
spike_array_horizontal_line.pkl,153,[],0
spike_array_horizontal_line.pkl,157,[],0
spike_array_horizontal_line.pkl,158,[],0
spike_array_horizontal_line.pkl,162,[],0
spike_array_horizontal_line.pkl,164,[],0
spike_array_horizontal_line.pkl,165,[],0
spike_array_horizontal_line.pkl,167,[],0
spike_array_horizontal_line.pkl,168,[],0
spike_array_horizontal_line.pkl,175,[],0
spike_array_horizontal_line.pkl,176,[],0
spike_array_horizontal_line.pkl,178,[],0
spike_array_horizontal_line.pkl,184,[],0
spike_array_horizontal_line.pkl,186,[],0
spike_array_horizontal_line.pkl,187,[],0
spike_array_horizontal_line.pkl,188,[],0
spike_array_horizontal_line.pkl,196,[],0
spike_array_horizontal_line.pkl,197,[],0
spike_array_horizontal_line.pkl,198,[],0
spike_array_horizontal_line.pkl,206,[],0
spike_array_horizontal_line.pkl,207,[],0
spike_array_horizontal_line.pkl,208,[],0
spike_array_horizontal_line.pkl,210,[],0
spike_array_horizontal_line.pkl,216,[],0
spike_array_horizontal_line.pkl,219,[],0
spike_array_horizontal_line.pkl,230,[],0
spike_array_horizontal_line.pkl,233,[],0
spike_array_horizontal_line.pkl,239,[],0
spike_array_horizontal_line.pkl,240,[],0
spike_array_horizontal_line.pkl,241,[],0
spike_array_horizontal_line.pkl,242,[],0
spike_array_horizontal_line.pkl,245,[],0
spike_array_horizontal_line.pkl,246,[],0
spike_array_horizontal_line.pkl,247,[],0
spike_array_horizontal_line.pkl,248,[],0
spike_array_horizontal_line.pkl,249,[],0
spike_array_horizontal_line.pkl,250,[],0
spike_array_horizontal_line.pkl,261,[],0
spike_array_horizontal_line.pkl,262,[],0
spike_array_horizontal_line.pkl,263,[],0
spike_array_horizontal_line.pkl,266,[],0
spike_array_horizontal_line.pkl,267,[],0
spike_array_horizontal_line.pkl,270,[],0
spike_array_horizontal_line.pkl,271,[],0
spike_array_horizontal_line.pkl,272,[],0
spike_array_horizontal_line.pkl,273,[],0
spike_array_horizontal_line.pkl,274,[],0
spike_array_horizontal_line.pkl,277,[],0
spike_array_horizontal_line.pkl,280,[],0
spike_array_horizontal_line.pkl,281,[],0
spike_array_horizontal_line.pkl,282,[],0
spike_array_horizontal_line.pkl,295,[],0
spike_array_horizontal_line.pkl,296,[],0
spike_array_horizontal_line.pkl,299,[],0
spike_array_horizontal_line.pkl,300,[],0
spike_array_horizontal_line.pkl,302,[],0
spike_array_horizontal_line.pkl,303,[],0
spike_array_horizontal_line.pkl,304,[],0
spike_array_horizontal_line.pkl,305,[],0
spike_array_horizontal_line.pkl,306,[],0
spike_array_horizontal_line.pkl,309,[],0
spike_array_horizontal_line.pkl,311,[],0
spike_array_horizontal_line.pkl,312,[],0
spike_array_horizontal_line.pkl,328,[],0
spike_array_horizontal_line.pkl,329,[],0
spike_array_horizontal_line.pkl,330,[],0
spike_array_horizontal_line.pkl,333,[],0
spike_array_horizontal_line.pkl,334,[],0
spike_array_horizontal_line.pkl,336,[],0
spike_array_horizontal_line.pkl,337,[],0
spike_array_horizontal_line.pkl,338,[],0
spike_array_horizontal_line.pkl,339,[],0
spike_array_horizontal_line.pkl,341,[],0
spike_array_horizontal_line.pkl,342,[],0
spike_array_horizontal_line.pkl,343,[],0
spike_array_horizontal_line.pkl,344,[],0
spike_array_horizontal_line.pkl,362,[],0
spike_array_horizontal_line.pkl,364,[],0
spike_array_horizontal_line.pkl,365,[],0
spike_array_horizontal_line.pkl,366,[],0
spike_array_horizontal_line.pkl,369,[],0
spike_array_horizontal_line.pkl,372,[],0
spike_array_horizontal_line.pkl,373,[],0
spike_array_horizontal_line.pkl,374,[],0
spike_array_horizontal_line.pkl,375,[],0
spike_array_horizontal_line.pkl,393,[],0
spike_array_horizontal_line.pkl,394,[],0
spike_array_horizontal_line.pkl,395,[],0
spike_array_horizontal_line.pkl,398,[],0
